#START7777
#--------------------------------------------------------------------------------------------------
# FLAG의 자리별 Y인 경우 의미 (왼쪽부터)
#   1 : 지상
#   2 : 표준등압면
#   3 : 온도유의고도
#   4 : 바람유의고도
#   5 : 권계면
#   6 : 최대풍
#   7 : 61616
#   8 : 52525
#   9 : TTAA
#  10 : TTBB
#  11 : TTCC
#  12 : TTDD
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN      PA      GH      TA      TD      WD      WS FLAG
#        UTC    ID     hPa       m       C       C  degree     m/s 123456789012
202607170000 47102  1000.0    36.0  -999.0  -999.0  -999.0  -999.0 010000001000
202607170000 47102   999.0  -999.0    23.4    21.4    45.0     1.5 101000001100
202607170000 47102   998.0  -999.0    23.8    22.2  -999.0  -999.0 001000000100
202607170000 47102   991.0  -999.0    22.4    21.3  -999.0  -999.0 001000000100
202607170000 47102   984.0  -999.0    23.8    20.1  -999.0  -999.0 001000000100
202607170000 47102   935.0  -999.0    23.0    16.0  -999.0  -999.0 001000000100
202607170000 47102   925.0   718.0    22.4    17.7   100.0     1.5 010000001000
202607170000 47102   885.0  -999.0    20.2    16.2  -999.0  -999.0 001000000100
202607170000 47102   850.0  1451.0    20.4     6.4    55.0     4.1 011000001100
202607170000 47102   839.0  -999.0    19.8     2.8  -999.0  -999.0 001000000100
202607170000 47102   798.0  -999.0    16.4     5.4  -999.0  -999.0 001000000100
202607170000 47102   789.0  -999.0    16.4    -2.6  -999.0  -999.0 001000000100
202607170000 47102   771.0  -999.0    14.6     3.6  -999.0  -999.0 001000000100
202607170000 47102   720.0  -999.0    12.2   -13.8  -999.0  -999.0 001000000100
202607170000 47102   700.0  3095.0    11.2    -8.8    45.0     2.6 010000001000
202607170000 47102   651.0  -999.0     8.4   -26.6  -999.0  -999.0 001000000100
202607170000 47102   634.0  -999.0     7.2   -16.8  -999.0  -999.0 001000000100
202607170000 47102   630.0  -999.0  -999.0  -999.0     0.0     0.0 000100000100
202607170000 47102   580.0  -999.0  -999.0  -999.0   220.0     4.1 000100000100
202607170000 47102   575.0  -999.0  -999.0  -999.0   230.0     5.1 000100000100
202607170000 47102   571.0  -999.0     0.6   -13.4  -999.0  -999.0 001000000100
202607170000 47102   546.0  -999.0    -1.9    -7.9  -999.0  -999.0 001000000100
202607170000 47102   545.0  -999.0    -1.9    -6.4  -999.0  -999.0 001000000100
202607170000 47102   540.0  -999.0    -1.5    -1.5  -999.0  -999.0 001000000100
202607170000 47102   538.0  -999.0  -999.0  -999.0   245.0    21.1 000100000100
202607170000 47102   534.0  -999.0    -0.9    -1.6  -999.0  -999.0 001000000100
202607170000 47102   517.0  -999.0  -999.0  -999.0   255.0    21.6 000100000100
202607170000 47102   500.0  5820.0    -3.3    -3.4   260.0    20.6 010000001000
202607170000 47102   445.0  -999.0  -999.0  -999.0   255.0    18.0 000100000100
202607170000 47102   420.0  -999.0   -11.1   -11.1  -999.0  -999.0 001000000100
202607170000 47102   417.0  -999.0   -10.1   -11.5  -999.0  -999.0 001000000100
202607170000 47102   400.0  7560.0   -11.5   -13.6   260.0    19.5 010000001000
202607170000 47102   385.0  -999.0   -12.7   -15.4  -999.0  -999.0 001000000100
202607170000 47102   377.0  -999.0  -999.0  -999.0   255.0    20.1 000100000100
202607170000 47102   300.0  9710.0   -26.7   -26.7   285.0    32.9 011000001100
202607170000 47102   285.0  -999.0   -28.3   -32.3  -999.0  -999.0 001000000100
202607170000 47102   283.0  -999.0  -999.0  -999.0   285.0    35.0 000100000100
202607170000 47102   250.0 11000.0   -36.1   -37.8   280.0    34.5 010000001000
202607170000 47102   248.0  -999.0   -36.7   -38.1  -999.0  -999.0 001000000100
202607170000 47102   231.0  -999.0  -999.0  -999.0   285.0    32.4 000100000100
202607170000 47102   221.0  -999.0   -43.1   -50.1  -999.0  -999.0 001000000100
202607170000 47102   209.0  -999.0   -46.1   -49.1  -999.0  -999.0 001000000100
202607170000 47102   201.0  -999.0  -999.0  -999.0   295.0    42.2 000001001000
202607170000 47102   200.0 12510.0   -47.5   -63.5   295.0    42.2 010000001000
202607170000 47102   199.0  -999.0   -47.5   -71.5  -999.0  -999.0 001000000100
202607170000 47102   196.0  -999.0   -48.1   -63.1  -999.0  -999.0 001000000100
202607170000 47102   150.0 14360.0   -59.5   -80.5   295.0    27.8 010000001000
202607170000 47102   142.0  -999.0   -62.3   -81.3  -999.0  -999.0 001000000100
202607170000 47102   133.0  -999.0  -999.0  -999.0   295.0    22.6 000100000100
202607170000 47102   120.0  -999.0  -999.0  -999.0   275.0    17.0 000100000100
202607170000 47102   107.0  -999.0   -71.3   -87.3   290.0    22.6 001010001100
202607170000 47102   100.0 16820.0   -70.5   -87.5   315.0    19.0 011000001100
202607170000 47102    92.3  -999.0  -999.0  -999.0   305.0     8.2 000100000001
202607170000 47102    90.9  -999.0  -999.0  -999.0   290.0     6.2 000100000001
202607170000 47102    88.1  -999.0  -999.0  -999.0   260.0     7.7 000100000001
202607170000 47102    86.2  -999.0  -999.0  -999.0   260.0     9.8 000100000001
202607170000 47102    83.9  -999.0  -999.0  -999.0   290.0    10.8 000100000001
202607170000 47102    80.6  -999.0  -999.0  -999.0   280.0     7.7 000100000001
202607170000 47102    78.8  -999.0  -999.0  -999.0   295.0     7.7 000100000001
202607170000 47102    77.2  -999.0  -999.0  -999.0   325.0     5.1 000100000001
202607170000 47102    72.6  -999.0   -68.9   -88.9  -999.0  -999.0 001000000001
202607170000 47102    71.1  -999.0   -65.9   -88.9  -999.0  -999.0 001000000001
202607170000 47102    71.0  -999.0  -999.0  -999.0    95.0     0.5 000100000001
202607170000 47102    70.0 18950.0   -65.7   -88.7   165.0     1.5 010000000010
202607170000 47102    64.8  -999.0   -65.3   -89.3  -999.0  -999.0 001000000001
202607170000 47102    64.6  -999.0  -999.0  -999.0   300.0     5.1 000100000001
202607170000 47102    62.6  -999.0   -62.3   -88.3  -999.0  -999.0 001000000001
202607170000 47102    62.4  -999.0  -999.0  -999.0    10.0     7.2 000100000001
202607170000 47102    60.4  -999.0  -999.0  -999.0    30.0     7.7 000100000001
202607170000 47102    58.9  -999.0  -999.0  -999.0    20.0     5.1 000100000001
202607170000 47102    55.4  -999.0  -999.0  -999.0    55.0     5.1 000100000001
202607170000 47102    53.1  -999.0  -999.0  -999.0    40.0     6.2 000100000001
202607170000 47102    51.0  -999.0  -999.0  -999.0    80.0     8.2 000100000001
202607170000 47102    50.0 21020.0   -60.1   -87.1    85.0     8.2 010000000010
202607170000 47102    48.7  -999.0  -999.0  -999.0    80.0     9.8 000100000001
202607170000 47102    46.8  -999.0  -999.0  -999.0   110.0    10.3 000100000001
202607170000 47102    45.1  -999.0  -999.0  -999.0    80.0     9.3 000100000001
202607170000 47102    43.3  -999.0  -999.0  -999.0   100.0    14.9 000100000001
202607170000 47102    40.4  -999.0  -999.0  -999.0   120.0    14.4 000100000001
202607170000 47102    38.8  -999.0  -999.0  -999.0   105.0     8.7 000100000001
202607170000 47102    35.6  -999.0  -999.0  -999.0   110.0    12.3 000100000001
202607170000 47102    34.7  -999.0  -999.0  -999.0    95.0    13.4 000100000001
202607170000 47102    33.6  -999.0  -999.0  -999.0   110.0    13.4 000100000001
202607170000 47102    32.3  -999.0  -999.0  -999.0   100.0    14.9 000100000001
202607170000 47102    30.0 24260.0   -54.1   -85.1   115.0    11.3 010000000010
202607170000 47102    29.7  -999.0  -999.0  -999.0   105.0    10.3 000100000001
202607170000 47102    29.2  -999.0  -999.0  -999.0    95.0    11.8 000100000001
202607170000 47102    26.4  -999.0  -999.0  -999.0    90.0    20.6 000100000001
202607170000 47102    23.0  -999.0  -999.0  -999.0    95.0    11.8 000100000001
202607170000 47102    21.9  -999.0  -999.0  -999.0   100.0    16.5 000100000001
202607170000 47102    21.1  -999.0  -999.0  -999.0    75.0    13.9 000100000001
202607170000 47102    20.2  -999.0  -999.0  -999.0   100.0    18.0 000100000001
202607170000 47102    20.0 26900.0   -48.9   -81.9    95.0    18.0 010000000010
